brand,name,price,registration_yr,insurance,fuel_type,seats,km_driven,ownership,engine_displacement,transmission,manufacture_yr
Toyota,Toyota Yaris G CVT BSIV,499000.0,2018,Comprehensive,Petrol,5,75000 ,First Owner,1496 ,Automatic,2018
Ford,Ford Freestyle Titanium Plus Diesel BSIV,450000.0,2019,Comprehensive,Diesel,5,72000 ,First Owner,1498 ,Manual,2019
Hyundai,Hyundai Santro Xing GLS CNG,145000.0,2011,Own Damage,CNG,5,73000 ,Second Owner,1086 ,Manual,2011
Maruti,Maruti Ignis 1.2 Sigma BSIV,365000.0,2019,Own Damage,Petrol,5,26000 ,First Owner,1197 ,Manual,2019
Hyundai,Hyundai i10 Era,140000.0,2013,Comprehensive,Petrol,5,62000 ,Third Owner,1086 ,Manual,2013
Hyundai,Hyundai i10 Sportz AT,252000.0,2012,Own Damage,Petrol,5,60000 ,Second Owner,1197 ,Automatic,2012
Maruti,Maruti Swift VXI,450000.0,2018,Comprehensive,Petrol,5,46000 ,First Owner,1197 ,Manual,2018
Ford,Ford Ecosport 1.5 Diesel Titanium BSIV,475000.0,2019,Own Damage,Diesel,5,65000 ,First Owner,1498 ,Manual,2019
Maruti,Maruti Baleno 1.2 CVT Delta,385000.0,2016,Third Party,Petrol,5,65005 ,First Owner,1197 ,Automatic,2016
Tata,Tata Tiago 1.2 Revotron XZ,325000.0,2016,Comprehensive,Petrol,5,65000 ,First Owner,1199 ,Manual,2016
Hyundai,Hyundai Santro Xing GLS,135000.0,2012,Own Damage,Petrol,5,90000 ,First Owner,1086 ,Manual,2012
Honda,Honda Amaze VX i-VTEC,350000.0,2016,Comprehensive,Petrol,5,52000 ,First Owner,1198 ,Manual,2016
Maruti,Maruti Baleno 1.2 Delta,425000.0,2017,Comprehensive,Petrol,5,40000 ,First Owner,1197 ,Manual,2017
Honda,Honda Amaze S i-Vtech,245000.0,2013,Comprehensive,Petrol,5,62157 ,First Owner,1198 ,Manual,2013
Jeep,Jeep Compass 1.4 Sport,495000.0,2018,Third Party,Petrol,5,58000 ,First Owner,1368 ,Manual,2018
Volkswagen,Volkswagen Polo 1.2 MPI Trendline,300000.0,2016,Comprehensive,Petrol,5,48678 ,First Owner,1198 ,Manual,2016
Hyundai,Hyundai Grand i10 Magna,320000.0,2016,Own Damage,Petrol,5,70000 ,Second Owner,1197 ,Manual,2016
Hyundai,Hyundai i10 Magna,140000.0,2012,Comprehensive,Petrol,5,54000 ,Second Owner,1197 ,Manual,2012
Maruti,Maruti Baleno 1.2 Delta,450000.0,2018,Own Damage,Petrol,5,49000 ,First Owner,1197 ,Manual,2018
Honda,Honda City S,220000.0,2012,Comprehensive,Petrol,5,82000 ,First Owner,1497 ,Manual,2012
Citroen,Citroen C3 Turbo Feel,399000.0,2023,Comprehensive,Petrol,5,49000 ,First Owner,1199 ,Manual,2023
Renault,Renault KWID 1.0 RXL AMT,370000.0,2021,Comprehensive,Petrol,5,46000 ,First Owner,999 ,Automatic,2021
Hyundai,Hyundai i10 Era,165000.0,2012,Own Damage,Petrol,5,51000 ,First Owner,1086 ,Manual,2012
Renault,Renault Triber RXT BSIV,375000.0,2019,Third Party,Petrol,7,60000 ,Second Owner,999 ,Manual,2019
Maruti,Maruti Baleno 1.2 Zeta,400000.0,2017,Own Damage,Petrol,5,70000 ,First Owner,1197 ,Manual,2017
Honda,Honda Mobilio V i-VTEC,345000.0,2025,Comprehensive,Petrol,7,74000 ,First Owner,1497 ,Manual,2015
Renault,Renault Duster SANDSTORM RXS 85 PS,425000.0,2018,Comprehensive,Diesel,5,72000 ,First Owner,1461 ,Manual,2018
Honda,Honda Amaze E Petrol BSIV,465000.0,2019,Comprehensive,Petrol,5,48000 ,First Owner,1199 ,Manual,2019
Tata,Tata Tigor 1.2 Revotron XT,340000.0,2017,Comprehensive,Petrol,5,55000 ,First Owner,1199 ,Manual,2017
Maruti,Maruti Celerio LXI,195000.0,2016,Own Damage,Petrol,5,69000 ,Second Owner,998 ,Manual,2016
Honda,Honda WR-V i-VTEC VX,500000.0,2017,Own Damage,Petrol,5,80000 ,First Owner,1199 ,Manual,2017
Maruti,Maruti Swift VXI,475000.0,2019,Comprehensive,Petrol,5,43000 ,First Owner,1197 ,Manual,2019
Hyundai,Hyundai Grand i10 1.2 Kappa Sportz Option,399000.0,2018,Comprehensive,Petrol,5,68000 ,First Owner,1197 ,Manual,2018
Maruti,Maruti Ertiga VXI CNG,450000.0,2016,Comprehensive,CNG,7,280000 ,Third Owner,1373 ,Manual,2016
Maruti,Maruti Ertiga ZXI,500000.0,2015,Own Damage,Petrol,7,30000 ,Second Owner,1373 ,Manual,2015
Renault,Renault Triber RXL BSVI,345000.0,2020,Own Damage,Petrol,7,48000 ,First Owner,999 ,Manual,2020
Maruti,Maruti Baleno 1.2 Delta,425000.0,2018,Own Damage,Petrol,5,60000 ,Second Owner,1197 ,Manual,2018
Renault,Renault Triber RXL EASY-R AMT,470000.0,2021,Own Damage,Petrol,7,30000 ,First Owner,999 ,Automatic,2021
Maruti,Maruti Swift LXI,410000.0,2019,Zero Dep,Petrol,5,40000 ,First Owner,1197 ,Manual,2019
Hyundai,Hyundai EON Era,140000.0,2012,Own Damage,Petrol,5,65214 ,First Owner,814 ,Manual,2012
Honda,Honda Jazz 1.2 V AT i VTEC,350000.0,2015,Own Damage,Petrol,5,54000 ,First Owner,1199 ,Automatic,2015
Datsun,Datsun GO A,170000.0,2014,Own Damage,Petrol,5,70000 ,Second Owner,1198 ,Manual,2014
Volkswagen,Volkswagen Polo 1.2 MPI Comfortline,200000.0,2013,Third Party,Petrol,5,63000 ,First Owner,1198 ,Manual,2013
Maruti,Maruti Ertiga SHVS VDI,445000.0,2016,Own Damage,Diesel,7,62000 ,First Owner,1248 ,Manual,2016
Hyundai,Hyundai Xcent 1.2 Kappa S,220000.0,2014,Comprehensive,Petrol,5,95000 ,First Owner,1197 ,Manual,2014
Maruti,Maruti Celerio VXI CNG,425000.0,2020,Comprehensive,CNG,5,63000 ,First Owner,998 ,Manual,2020
Hyundai,Hyundai i10 Era,215000.0,2013,Comprehensive,Petrol,5,12000 ,First Owner,1086 ,Manual,2013
Honda,Honda WR-V i-VTEC VX,475000.0,2018,Own Damage,Petrol,5,60000 ,First Owner,1199 ,Manual,2018
Maruti,Maruti Swift Dzire VXI,365000.0,2015,Comprehensive,Petrol,5,60000 ,First Owner,1197 ,Manual,2015
Maruti,Maruti XL6 Alpha Plus AT,1250000.0,2024,Comprehensive,Petrol,6,13000 ,First Owner,1462 ,Automatic,2024
Kia,Kia Seltos HTX,1425000.0,2024,Zero Dep,Petrol,5,6000 ,First Owner,1497 ,Manual,2024
Mahindra,Mahindra Thar LX 4WD Hard Top AT BSVI,1440000.0,2023,Comprehensive,Petrol,4,22000 ,First Owner,1997 ,Automatic,2023
MG,MG Astor Sharp CVT BSVI,1195000.0,2023,Comprehensive,Petrol,5,32000 ,First Owner,1498 ,Automatic,2023
Mahindra,Mahindra Thar LX 4WD Hard Top AT BSVI,1349000.0,2023,Comprehensive,Petrol,4,13000 ,First Owner,1997 ,Automatic,2023
Kia,Kia Carens Luxury Plus DCT,1450000.0,2023,Zero Dep,Petrol,7,20000 ,First Owner,1482 ,Automatic,2023
Tata,Tata Curvv Creative Plus S DCA,1430000.0,2024,Comprehensive,Petrol,5,9000 ,First Owner,1199 ,Automatic,2024
Mahindra,Mahindra Thar LX 4WD Hard Top AT BSVI,1200000.0,2023,Zero Dep,Petrol,4,23000 ,First Owner,1997 ,Automatic,2023
Kia,Kia Seltos HTK G,1049000.0,2022,Own Damage,Petrol,5,37000 ,First Owner,1497 ,Manual,2022
Maruti,Maruti Grand Vitara Delta AT,1250000.0,2023,Comprehensive,Petrol,5,14000 ,First Owner,1462 ,Automatic,2023
Kia,Kia Sonet HTX Turbo DCT,1015000.0,2024,Comprehensive,Petrol,5,20000 ,First Owner,998 ,Automatic,2024
Maruti,Maruti Brezza Vxi CNG,1025000.0,2024,Comprehensive,CNG,5,15000 ,First Owner,1462 ,Manual,2024
Maruti,Maruti Ertiga ZXI Plus,1025000.0,2022,Own Damage,Petrol,7,20000 ,First Owner,1462 ,Manual,2022
Kia,Kia Carens Premium,1150000.0,2023,Own Damage,Petrol,7,10000 ,First Owner,1497 ,Manual,2023
MG,MG Astor Sharp CVT BSVI,1025000.0,2022,Comprehensive,Petrol,5,50000 ,First Owner,1498 ,Automatic,2022
Kia,Kia Sonet HTX Diesel,1185000.0,2024,Own Damage,Diesel,5,16000 ,First Owner,1493 ,Manual,2024
Kia,Kia Seltos HTK Plus G,1074000.0,2022,Own Damage,Petrol,5,33000 ,First Owner,1497 ,Manual,2022
Maruti,Maruti Grand Vitara Delta,1160000.0,2024,Comprehensive,Petrol,5,15000 ,First Owner,1462 ,Manual,2024
Ford,Ford Endeavour 3.2 Titanium AT 4X4,1300000.0,2016,Own Damage,Diesel,7,126000 ,First Owner,3198 ,Automatic,2016
Volkswagen,Volkswagen Taigun 1.0 Topline AT,1285000.0,2023,Comprehensive,Petrol,5,44000 ,First Owner,999 ,Automatic,2023
Kia,Kia Sonet GTX Plus Turbo DCT DT,1050000.0,2025,Comprehensive,Petrol,5,34000 ,First Owner,998 ,Automatic,2022
Toyota,Toyota Hyryder S HYBRID BSVI,1257000.0,2023,Comprehensive,Petrol,5,38000 ,First Owner,1490 ,Automatic,2022
Skoda,Skoda Kushaq 1.0 TSI Style AT,1450000.0,2023,Comprehensive,Petrol,5,9200 ,First Owner,999 ,Automatic,2023
Kia,Kia Carens Prestige BSVI,1100000.0,2023,Comprehensive,Petrol,7,29000 ,First Owner,1497 ,Manual,2023
MG,MG Hector Shine CVT,1500000.0,2023,Own Damage,Petrol,5,15500 ,Second Owner,1451 ,Automatic,2023
MG,MG Astor Sharp Turbo AT BSVI,1050000.0,2022,Comprehensive,Petrol,5,54000 ,First Owner,1349 ,Automatic,2022
Kia,Kia Carens Luxury Plus DCT,1500000.0,2023,Zero Dep,Petrol,7,12000 ,First Owner,1482 ,Automatic,2023
Kia,Kia Carens Luxury Plus Turbo DCT 2022-2023,1440000.0,2022,Comprehensive,Petrol,7,38000 ,First Owner,1353 ,Automatic,2022
Maruti,Maruti Brezza Zxi AT,1095000.0,2024,Comprehensive,Petrol,5,15000 ,First Owner,1462 ,Automatic,2024
Hyundai,Hyundai Verna SX IVT,1275000.0,2023,Own Damage,Petrol,5,28000 ,First Owner,1497 ,Automatic,2023
Toyota,Toyota Taisor G Turbo AT,1075000.0,2024,Comprehensive,Petrol,5,7000 ,First Owner,998 ,Automatic,2024
Kia,Kia Seltos HTX IVT G,1095000.0,2021,Comprehensive,Petrol,5,41000 ,First Owner,1497 ,Automatic,2021
Mahindra,Mahindra Thar LX 4WD Hard Top AT BSVI,1235000.0,2022,Own Damage,Petrol,4,26000 ,First Owner,1997 ,Automatic,2022
Hyundai,Hyundai Creta SX Opt IVT BSVI,1275000.0,2021,Zero Dep,Petrol,5,45000 ,First Owner,1497 ,Automatic,2021
Kia,Kia Seltos HTX IVT,1250000.0,2022,Own Damage,Petrol,5,66000 ,First Owner,1497 ,Automatic,2022
Hyundai,Hyundai Verna SX Opt Turbo DCT DT,1350000.0,2023,Comprehensive,Petrol,5,51000 ,First Owner,1482 ,Automatic,2023
Kia,Kia Seltos HTX IVT,1245000.0,2022,Comprehensive,Petrol,5,62000 ,First Owner,1497 ,Automatic,2022
Mahindra,Mahindra XUV700 MX BSVI,1274000.0,2022,Own Damage,Petrol,5,20000 ,First Owner,1999 ,Manual,2022
MG,MG Hector Sharp DCT,1050000.0,2020,Comprehensive,Petrol,5,49000 ,First Owner,1451 ,Automatic,2020
Kia,Kia Sonet HTX Turbo DCT,1050000.0,2023,Comprehensive,Petrol,5,32000 ,First Owner,998 ,Automatic,2023
BMW,BMW 5 Series 520d Luxury Line,1225000.0,2017,Comprehensive,Diesel,5,71000 ,Third Owner,1995 ,Automatic,2017
MG,MG Astor Sharp Pro,1099000.0,2024,Comprehensive,Petrol,5,10000 ,First Owner,1498 ,Manual,2024
Skoda,Skoda Slavia 1.0 TSI Style AT BSVI,1140000.0,2023,Comprehensive,Petrol,5,22000 ,First Owner,999 ,Automatic,2022
Skoda,Skoda Slavia 1.0 TSI Style AT BSVI,1096000.0,2022,Comprehensive,Petrol,5,24000 ,First Owner,999 ,Automatic,2022
Mahindra,Mahindra Thar LX 4WD Hard Top AT BSVI,1345000.0,2021,Comprehensive,Petrol,4,28000 ,First Owner,1997 ,Automatic,2021
Honda,Honda Elevate VX Non RF,1195000.0,2024,Comprehensive,Petrol,5,18000 ,First Owner,1498 ,Manual,2024
Kia,Kia Seltos HTX IVT G,1125000.0,2020,Comprehensive,Petrol,5,48000 ,First Owner,1497 ,Automatic,2020
Kia,Kia Sonet HTX Diesel,1075000.0,2024,Own Damage,Diesel,5,30000 ,First Owner,1493 ,Manual,2024
Hyundai,Hyundai Creta SX Diesel BSVI,1105000.0,2020,Own Damage,Diesel,5,20000 ,First Owner,1493 ,Manual,2020
Hyundai,Hyundai Creta SX Opt IVT BSVI,1100000.0,2020,Own Damage,Petrol,5,24000 ,First Owner,1497 ,Automatic,2020
Kia,Kia Seltos GTX Plus Diesel AT,1390000.0,2025,Third Party,Diesel,5,68000 ,First Owner,1493 ,Automatic,2022
Kia,Kia Seltos Anniversary Edition IVT,1050000.0,2020,Comprehensive,Petrol,5,42000 ,Second Owner,1497 ,Automatic,2020
Maruti,Maruti Grand Vitara Alpha,1350000.0,2024,Comprehensive,Petrol,5,30000 ,First Owner,1462 ,Manual,2024
Kia,Kia Seltos HTX IVT,1399000.0,2023,Comprehensive,Petrol,5,39000 ,First Owner,1497 ,Automatic,2023
Hyundai,Hyundai Creta S Plus Knight,1150000.0,2023,Comprehensive,Petrol,5,30000 ,First Owner,1497 ,Manual,2023
