url,title,price,registration_yr,insurance,fuel_type,seats,km_driven,ownership,engine_displacement,transmission,manufacture_yr
https://www.cardekho.com/used-car-details/used-Mg-hector-15-turbo-savvy-pro-cvt-bsvi-cars-New-Delhi_75b51192-c5d3-4feb-ac67-ec7e32f25ad7.htm,2023 MG Hector 1.5 Turbo Savvy Pro CVT BSVI,₹16.25 LakhMake Your Offer,May 2023,Comprehensive,Petrol,5 Seats,"49,000 Kms",First Owner,1451 cc,Automatic,2023
https://www.cardekho.com/used-car-details/used-Hyundai-creta-sx-ivt-cars-New-Delhi_0c4d48cb-1c50-4693-bc94-20f6b338e70e.htm,2023 Hyundai Creta SX IVT,₹15.25 LakhMake Your Offer,Dec 2023,Comprehensive,Petrol,5 Seats,"10,000 Kms",First Owner,1497 cc,Automatic,2023
https://www.cardekho.com/used-car-details/used-Kia-carens-luxury-plus-dct-6-str-bsvi-cars-New-Delhi_79c723b7-24e1-4cb4-adad-5f1858654d5f.htm,2023 Kia Carens Luxury Plus DCT 6 STR BSVI,₹15.25 LakhMake Your Offer,Sept 2023,Zero Dep,Petrol,6 Seats,"24,000 Kms",First Owner,1482 cc,Automatic,2023
https://www.cardekho.com/used-car-details/used-Toyota-hyryder-v-hybrid-cars-New-Delhi_e734f713-1336-4cac-b63f-edfcbd682b7f.htm,2024 Toyota Hyryder V HYBRID,₹19.10 LakhMake Your Offer,Nov 2024,Comprehensive,Petrol,5 Seats,"8,000 Kms",First Owner,1490 cc,Automatic,2024
https://www.cardekho.com/used-car-details/used-Toyota-hyryder-g-hybrid-cars-New-Delhi_c9885e24-e393-4643-8de6-b11b450e2463.htm,2023 Toyota Hyryder G HYBRID,₹15.65 LakhMake Your Offer,Mar 2023,Comprehensive,Petrol,5 Seats,"67,080 Kms",First Owner,1490 cc,Automatic,2023
https://www.cardekho.com/used-car-details/used-Toyota-innova-crysta-24-gx-7-str-at-cars-New-Delhi_21e66474-fee8-45ef-9469-371a9940c539.htm?adId=17836&adType=41,2020 Toyota Innova Crysta 2.4 GX 7 STR AT,₹17 LakhMake Your Offer,Oct 2020,Comprehensive,Diesel,7 Seats,"35,000 Kms",Second Owner,2393 cc,Automatic,2020
https://www.cardekho.com/used-car-details/used-Jeep-compass-14-limited-opt-dct-bsvi-cars-New-Delhi_681082a8-3058-4a2d-b534-b02c1693d417.htm?adId=17152&adType=41,2021 Jeep Compass 1.4 Limited Opt DCT BSVI,₹18 Lakh,2021,-,Petrol,5 Seats,"50,000 Kms",Second Owner,1368 cc,Automatic,2021
https://www.cardekho.com/used-car-details/used-Kia-seltos-htx-diesel-at-cars-New-Delhi_73ac594d-59d6-4279-bf23-7ed94c09b0fa.htm,2024 Kia Seltos HTX Diesel AT,₹17 LakhMake Your Offer,Feb 2024,Comprehensive,Diesel,5 Seats,"41,000 Kms",First Owner,1493 cc,Automatic,2024
https://www.cardekho.com/used-car-details/used-Bmw-x1-sdrive20d-expedition-cars-New-Delhi_e632e0ed-ac8c-4e32-a257-6fbe02ec54c5.htm?adId=18440&adType=41,2020 BMW X1 sDrive20d Expedition,₹19 Lakh,2020,-,Diesel,5 Seats,"70,000 Kms",First Owner,1995 cc,Automatic,2020
https://www.cardekho.com/used-car-details/used-Audi-q3-30-tfsi-premium-fwd-cars-New-Delhi_bc2ce4ee-51a3-40b2-9078-e26e9ec0b74f.htm,2017 Audi Q3 30 TFSI Premium FWD,₹16.75 LakhMake Your Offer,Jan 2017,Comprehensive,Petrol,5 Seats,"58,000 Kms",First Owner,1395 cc,Automatic,2017
https://www.cardekho.com/used-car-details/used-Tata-safari-xza-plus-o-at-bsvi-cars-New-Delhi_1d2bfaf4-e0c6-4711-b1df-effac0fb065f.htm,2023 Tata Safari XZA Plus (O) AT BSVI,₹17.90 Lakh,2023,Zero Dep,Diesel,7 Seats,"30,000 Kms",First Owner,1956 cc,Automatic,2023
https://www.cardekho.com/used-car-details/used-Toyota-innova-crysta-24-gx-7-str-at-cars-New-Delhi_9267f1f2-3094-49a3-b192-401084b0ccbf.htm,2020 Toyota Innova Crysta 2.4 GX 7 STR AT,₹17 LakhMake Your Offer,Jan 2020,-,Diesel,7 Seats,"54,000 Kms",First Owner,2393 cc,Automatic,2020
https://www.cardekho.com/used-car-details/used-Mahindra-scorpio-n-z4-diesel-at-bsvi-cars-New-Delhi_46937420-e17e-4662-9045-1e91a1901d02.htm,2024 Mahindra Scorpio N Z4 Diesel AT BSVI,₹17.50 LakhMake Your Offer,Jan 2024,-,Diesel,7 Seats,"22,000 Kms",First Owner,2198 cc,Automatic,2024
https://www.cardekho.com/used-car-details/used-Toyota-hyryder-g-hybrid-cars-New-Delhi_f79d1d9a-0338-4fef-8bdf-0a4787daaf07.htm,2024 Toyota Hyryder G HYBRID,₹17 LakhMake Your Offer,Aug 2024,-,Petrol,5 Seats,"39,770 Kms",First Owner,1490 cc,Automatic,2024
https://www.cardekho.com/used-car-details/used-Mercedes-benz-gla-class-200-cars-New-Delhi_eab77ff1-430e-4d58-8e6a-7c6f3b71a375.htm?adId=13760&adType=41,2016 Mercedes-Benz GLA Class 200,₹18 LakhMake Your Offer,Jul 2016,-,Petrol,5 Seats,"70,000 Kms",Second Owner,1991 cc,Automatic,2016
https://www.cardekho.com/used-car-details/used-Mg-hector-sharp-cvt-cars-New-Delhi_e5b8f996-4913-44fd-b82d-5090982083d6.htm,2023 MG Hector Sharp CVT,₹15.99 LakhMake Your Offer,Jun 2023,Comprehensive,Petrol,5 Seats,"24,600 Kms",First Owner,1451 cc,Automatic,2023
